episode,step,agent,loss,epsilon
0,0,drone_0,0.0,1.0
0,0,drone_1,0.0,1.0
0,0,drone_2,0.0,1.0
0,0,drone_3,0.0,1.0
0,0,drone_4,0.0,1.0
0,4,drone_0,0.0,1.0
0,4,drone_1,0.0,1.0
0,4,drone_2,0.0,1.0
0,4,drone_3,0.0,1.0
0,4,drone_4,0.0,1.0
0,8,drone_0,0.0,1.0
0,8,drone_1,0.0,1.0
0,8,drone_2,0.0,1.0
0,8,drone_3,0.0,1.0
0,8,drone_4,0.0,1.0
0,12,drone_0,0.0,1.0
0,12,drone_1,0.0,1.0
0,12,drone_2,0.0,1.0
0,12,drone_3,0.0,1.0
0,12,drone_4,0.0,1.0
0,16,drone_0,0.0,1.0
0,16,drone_1,0.0,1.0
0,16,drone_2,0.0,1.0
0,16,drone_3,0.0,1.0
0,16,drone_4,0.0,1.0
0,20,drone_0,0.0,1.0
0,20,drone_1,0.0,1.0
0,20,drone_2,0.0,1.0
0,20,drone_3,0.0,1.0
0,20,drone_4,0.0,1.0
0,24,drone_0,0.0,1.0
0,24,drone_1,0.0,1.0
0,24,drone_2,0.0,1.0
0,24,drone_3,0.0,1.0
0,24,drone_4,0.0,1.0
0,28,drone_0,0.0,1.0
0,28,drone_1,0.0,1.0
0,28,drone_2,0.0,1.0
0,28,drone_3,0.0,1.0
0,28,drone_4,0.0,1.0
0,32,drone_0,0.0,1.0
0,32,drone_1,0.0,1.0
0,32,drone_2,0.0,1.0
0,32,drone_3,0.0,1.0
0,32,drone_4,0.0,1.0
0,36,drone_0,0.0,1.0
0,36,drone_1,0.0,1.0
0,36,drone_2,0.0,1.0
0,36,drone_3,0.0,1.0
0,36,drone_4,0.0,1.0
0,40,drone_0,0.0,1.0
0,40,drone_1,0.0,1.0
0,40,drone_2,0.0,1.0
0,40,drone_3,0.0,1.0
0,40,drone_4,0.0,1.0
0,44,drone_0,0.0,1.0
0,44,drone_1,0.0,1.0
0,44,drone_2,0.0,1.0
0,44,drone_3,0.0,1.0
0,44,drone_4,0.0,1.0
0,48,drone_0,0.0,1.0
0,48,drone_1,0.0,1.0
0,48,drone_2,0.0,1.0
0,48,drone_3,0.0,1.0
0,48,drone_4,0.0,1.0
1,0,drone_0,0.0,1.0
1,0,drone_1,0.0,1.0
1,0,drone_2,0.0,1.0
1,0,drone_3,0.0,1.0
1,0,drone_4,0.0,1.0
1,4,drone_0,0.0,1.0
1,4,drone_1,0.0,1.0
1,4,drone_2,0.0,1.0
1,4,drone_3,0.0,1.0
1,4,drone_4,0.0,1.0
1,8,drone_0,0.0,1.0
1,8,drone_1,0.0,1.0
1,8,drone_2,0.0,1.0
1,8,drone_3,0.0,1.0
1,8,drone_4,0.0,1.0
1,12,drone_0,0.0,1.0
1,12,drone_1,0.0,1.0
1,12,drone_2,0.0,1.0
1,12,drone_3,0.0,1.0
1,12,drone_4,0.0,1.0
1,16,drone_0,0.2723379135131836,0.995
1,16,drone_1,0.25164926052093506,0.995
1,16,drone_2,0.3887915313243866,0.995
1,16,drone_3,0.1801302134990692,0.995
1,16,drone_4,0.3723302483558655,0.995
1,20,drone_0,0.04505617171525955,0.990025
1,20,drone_1,0.21734066307544708,0.990025
1,20,drone_2,0.3635280728340149,0.990025
1,20,drone_3,0.01856117881834507,0.990025
1,20,drone_4,0.4275546371936798,0.990025
1,24,drone_0,0.06103461608290672,0.985074875
1,24,drone_1,0.19105249643325806,0.985074875
1,24,drone_2,0.38181552290916443,0.985074875
1,24,drone_3,0.04061626270413399,0.985074875
1,24,drone_4,0.49670547246932983,0.985074875
1,28,drone_0,0.05095473304390907,0.9801495006250001
1,28,drone_1,0.2099524587392807,0.9801495006250001
1,28,drone_2,0.3386009931564331,0.9801495006250001
1,28,drone_3,0.029246576130390167,0.9801495006250001
1,28,drone_4,0.32766079902648926,0.9801495006250001
1,32,drone_0,0.048632312566041946,0.9752487531218751
1,32,drone_1,0.14337825775146484,0.9752487531218751
1,32,drone_2,0.25877508521080017,0.9752487531218751
1,32,drone_3,0.01145807933062315,0.9752487531218751
1,32,drone_4,0.2640531063079834,0.9752487531218751
1,36,drone_0,0.026588454842567444,0.9703725093562657
1,36,drone_1,0.16776268184185028,0.9703725093562657
1,36,drone_2,0.26482146978378296,0.9703725093562657
1,36,drone_3,0.007190224714577198,0.9703725093562657
1,36,drone_4,0.33156612515449524,0.9703725093562657
1,40,drone_0,0.02047746255993843,0.9655206468094844
1,40,drone_1,0.11815235018730164,0.9655206468094844
1,40,drone_2,0.2780473232269287,0.9655206468094844
1,40,drone_3,0.019494492560625076,0.9655206468094844
1,40,drone_4,0.3230418264865875,0.9655206468094844
1,44,drone_0,0.02337159588932991,0.960693043575437
1,44,drone_1,0.10016719251871109,0.960693043575437
1,44,drone_2,0.26938432455062866,0.960693043575437
1,44,drone_3,0.026333767920732498,0.960693043575437
1,44,drone_4,0.2266012281179428,0.960693043575437
1,48,drone_0,0.08357914537191391,0.9558895783575597
1,48,drone_1,0.08102137595415115,0.9558895783575597
1,48,drone_2,0.2060808390378952,0.9558895783575597
1,48,drone_3,0.012804185040295124,0.9558895783575597
1,48,drone_4,0.19308653473854065,0.9558895783575597
