episode,system,total_reward,deliveries_completed,deliveries_total,success_rate,rule_violations,collisions,battery_failures,steps,avg_battery_remaining,symbolic_interventions,timestamp
0,neuro_dqn,-1626.600054141134,0,10,0.0,0,0,0,500,43.83999999999969,2255,2026-05-22T16:32:06
1,neuro_dqn,-2039.700055938214,0,10,0.0,45,0,0,500,28.97999999999976,2071,2026-05-22T16:32:09
2,neuro_dqn,-1560.5500498749316,0,10,0.0,0,0,0,500,33.69999999999968,2258,2026-05-22T16:32:12
3,neuro_dqn,-2861.649992115796,0,10,0.0,84,0,0,500,18.899999999999835,1900,2026-05-22T16:32:15
4,neuro_dqn,-2037.500070989132,0,10,0.0,0,0,0,500,19.699999999999903,2013,2026-05-22T16:32:18
5,neuro_dqn,-3480.7000822871923,0,10,0.0,128,0,0,500,17.599999999999675,2317,2026-05-22T16:32:22
6,neuro_dqn,-1943.4000662229955,0,10,0.0,0,0,0,500,26.659999999999627,2488,2026-05-22T16:32:25
7,neuro_dqn,-1048.000036355108,0,10,0.0,0,0,0,376,25.059999999999693,1781,2026-05-22T16:32:28
0,neuro_dqn,-1613.7000585533679,0,10,0.0,6,0,0,500,28.03999999999973,2083,2026-05-22T16:36:06
1,neuro_dqn,-2011.1500751972198,2,10,0.2,5,0,0,500,21.47999999999984,2104,2026-05-22T16:36:09
2,neuro_dqn,-2886.750041451305,0,10,0.0,98,0,0,500,15.119999999999726,2112,2026-05-22T16:36:12
3,neuro_dqn,-2566.750076442957,0,10,0.0,37,0,0,500,12.31999999999978,2085,2026-05-22T16:36:15
4,neuro_dqn,-1572.0000583790243,0,10,0.0,9,0,0,500,24.63999999999964,2190,2026-05-22T16:36:18
5,neuro_dqn,-1239.7000513263047,1,10,0.1,0,0,0,500,21.979999999999784,2191,2026-05-22T16:36:22
6,neuro_dqn,-2963.600076928735,0,10,0.0,96,0,0,500,39.67999999999993,2094,2026-05-22T16:36:25
7,neuro_dqn,-1250.2000603079796,2,10,0.2,9,0,0,500,23.059999999999658,2269,2026-05-22T16:36:28
8,neuro_dqn,-2830.800067845732,0,10,0.0,89,0,0,500,30.0399999999996,2291,2026-05-22T16:36:32
9,neuro_dqn,-1722.9000608585775,1,10,0.1,2,1,0,500,28.119999999999692,2284,2026-05-22T16:36:35
10,neuro_dqn,-2063.9000732451677,0,10,0.0,0,1,0,500,24.379999999999647,2476,2026-05-22T16:36:38
11,neuro_dqn,-1657.9000623077154,0,10,0.0,0,0,0,500,9.819999999999872,2008,2026-05-22T16:36:41
12,neuro_dqn,-6422.600031960756,2,10,0.2,355,0,0,500,26.019999999999726,2338,2026-05-22T16:36:45
13,neuro_dqn,-2741.8500536978245,1,10,0.1,88,0,0,500,4.959999999999868,1897,2026-05-22T16:36:47
